Row Labels,Under $50K,$50K to $100K,$100K to $150K,$150K to $200K,$200K to $250K,$250K to $300K,$300K to $350K,$350K to $400K,$400K to $450K,$450K to $500K,Over $500K,Total
42003401200,27,7,8,2,0,0,0,0,0,0,0,44
42003401300,6,8,14,8,3,1,0,1,1,0,0,42
42003402000,12,17,7,8,0,0,0,0,0,0,0,44
42003403500,25,14,9,3,1,0,0,0,0,0,0,52
42003404000,2,6,5,4,2,0,0,0,0,0,0,19
42003405000,1,0,2,2,1,0,0,1,0,1,0,8
42003406000,1,3,2,3,3,2,0,0,0,0,1,15
42003407001,3,9,6,6,5,0,1,3,0,0,0,33
42003407002,5,6,2,12,9,15,6,0,0,1,1,57
42003408001,1,2,2,4,7,11,3,1,3,5,19,58
42003408002,0,2,1,6,19,11,7,6,10,7,1,70
42003409000,0,1,0,4,9,5,16,15,10,16,119,195
42003410000,0,0,0,0,1,2,4,5,1,1,3,17
42003411000,0,0,0,2,3,3,8,25,14,11,42,108
42003412001,0,1,1,1,4,8,12,12,11,8,44,102
42003412002,1,0,0,2,5,3,2,3,5,5,11,37
42003413100,0,0,1,2,6,0,0,5,9,8,22,53
42003413201,0,0,1,6,6,16,4,2,2,2,0,39
42003413202,0,0,1,4,5,1,7,2,1,1,1,23
42003413300,0,3,2,2,12,8,6,9,2,0,0,44
42003413400,2,0,1,1,7,4,4,6,3,0,8,36
42003413500,0,0,1,2,12,9,10,10,3,1,4,52
42003414101,0,0,2,17,7,8,11,10,5,0,7,67
42003414102,1,2,4,12,16,6,6,10,3,2,12,74
42003414200,1,4,3,6,10,7,6,4,3,5,17,66
42003415001,6,5,3,2,8,1,3,2,4,2,9,45
42003415002,0,2,1,1,7,2,0,4,4,2,10,33
42003416000,4,2,6,4,1,0,0,0,0,0,0,17
42003417100,2,4,14,5,2,0,0,0,0,0,0,27
42003417200,6,2,2,2,0,0,0,0,0,0,0,12
42003418000,3,7,4,7,4,0,0,0,0,0,0,25
42003419000,2,6,1,4,3,1,2,4,0,1,4,28
42003420000,3,1,1,5,4,4,0,0,0,0,0,18
42003421100,0,0,4,2,5,5,2,1,6,7,13,45
42003421200,3,2,6,3,8,4,1,2,3,3,8,43
42003422000,0,2,0,0,0,0,2,2,0,5,63,74
42003423000,0,0,0,2,2,4,4,3,3,1,5,24
42003424000,3,6,6,2,0,0,0,1,0,0,0,18
42003425000,4,11,7,1,3,1,0,0,0,0,0,27
42003426300,1,0,2,10,23,18,5,1,0,0,1,61
42003426400,3,1,5,10,11,6,2,1,0,0,0,39
42003426700,0,1,3,6,3,6,1,2,0,0,0,22
42003426800,0,2,3,4,14,22,8,4,0,0,1,58
42003427000,9,10,8,5,3,0,0,0,0,0,0,35
42003427100,0,0,2,13,15,11,6,1,1,0,0,49
42003427200,2,4,7,7,8,6,4,1,0,0,0,39
42003428100,1,4,2,0,1,0,0,0,0,0,0,8
42003428200,1,0,2,5,9,4,2,0,0,0,0,23
42003429100,1,0,3,13,9,5,4,1,1,0,0,37
42003429201,0,1,0,1,7,4,9,5,2,0,2,31
42003429202,0,2,2,2,11,5,4,3,1,1,2,33
42003429300,0,0,3,7,10,15,13,4,2,0,1,55
42003429400,2,0,11,15,7,16,2,5,1,0,0,59
42003429500,0,0,3,2,9,6,3,4,3,0,2,32
42003429600,0,2,3,19,10,4,1,1,0,0,0,40
